github.com/AlDanial/cloc v 2.06  T=22.46 s (346.9 files/s, 62200.7 lines/s)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                                                                         blank        comment           code
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Issues.java                                                                                                                                1759           9771          34841
./sonar-scanner-protocol/build/generated/source/proto/main/java/org/sonar/scanner/protocol/output/ScannerReport.java                                                                                          1961           7498          28646
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Rules.java                                                                                                                                 1143           5556          20543
./server/sonar-ce-task-projectanalysis/build/generated/source/proto/main/java/com/sonarsource/governance/projectdump/protobuf/ProjectDump.java                                                                1269           5137          19610
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Qualitygates.java                                                                                                                          1210           4573          18211
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Qualityprofiles.java                                                                                                                        959           4114          15342
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Permissions.java                                                                                                                            845           3508          14311
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Common.java                                                                                                                                 985           4064          13884
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Hotspots.java                                                                                                                               593           4133          13505
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/AlmIntegrations.java                                                                                                                        836           3190          13431
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Plugins.java                                                                                                                                654           3636          12816
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Users.java                                                                                                                                  735           3257          12029
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Components.java                                                                                                                             608           3075          11108
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Ce.java                                                                                                                                     706           2965          10819
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Measures.java                                                                                                                               554           2339           9448
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Settings.java                                                                                                                               610           2130           9033
./server/sonar-ce-task-projectanalysis/build/generated/source/proto/main/java/org/sonar/ce/task/projectanalysis/util/cache/IssueCache.java                                                                     426           2998           8843
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Projects.java                                                                                                                               543           2094           8832
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/AlmSettings.java                                                                                                                            530           2212           8722
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/ProjectAnalyses.java                                                                                                                        499           2067           8478
./sonar-core/build/generated/source/proto/test/java/org/sonar/core/test/Test.java                                                                                                                              560           1764           7827
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Webhooks.java                                                                                                                               405           1681           6352
./server/sonar-db-dao/build/generated/source/proto/main/java/org/sonar/db/protobuf/DbIssues.java                                                                                                               276           1000           4222
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Tests.java                                                                                                                                  240           1161           4149
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/System.java                                                                                                                                 287            959           3995
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/UserTokens.java                                                                                                                             213            991           3716
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Duplications.java                                                                                                                           209            684           3252
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/SecurityReports.java                                                                                                                        210            998           3236
./server/sonar-db-dao/build/generated/source/proto/main/java/org/sonar/db/protobuf/DbFileSources.java                                                                                                          213           1126           3121
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/ProjectBranches.java                                                                                                                        192            591           2698
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/UserGroups.java                                                                                                                             187            567           2659
./sonar-scanner-protocol/build/generated/source/proto/main/java/org/sonar/scanner/protocol/input/ScannerInput.java                                                                                             135            813           2569
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/ProjectPullRequests.java                                                                                                                    154            620           2519
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/issue/ws/SearchActionIT.java                                                                                                                      313             32           2340
./server/sonar-process/build/generated/source/proto/main/java/org/sonar/process/systeminfo/protobuf/ProtobufSystemInfo.java                                                                                    162            521           2335
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Batch.java                                                                                                                                  140            353           2082
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/ProjectLinks.java                                                                                                                           138            387           1953
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/hotspot/ws/SearchActionIT.java                                                                                                                    334             26           1898
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Notifications.java                                                                                                                          108            560           1870
./server/sonar-db-dao/src/it/java/org/sonar/db/purge/PurgeDaoIT.java                                                                                                                                           367             62           1869
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/NewCodePeriods.java                                                                                                                         126            444           1763
./server/sonar-db-migration/src/main/java/org/sonar/server/platform/db/migration/version/v00/CreateInitialSchema.java                                                                                          152             27           1714
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Developers.java                                                                                                                             102            373           1599
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Favorites.java                                                                                                                               97            324           1510
./server/sonar-db-dao/src/it/java/org/sonar/db/component/ComponentDaoIT.java                                                                                                                                   314             68           1453
./server/sonar-webserver-es/src/test/java/org/sonar/server/measure/index/ProjectMeasuresIndexTest.java                                                                                                         257            179           1426
./server/sonar-webserver-webapi/src/test/java/org/sonar/server/measure/live/MeasureUpdateFormulaFactoryImplTest.java                                                                                           254            118           1398
./server/sonar-webserver-es/src/main/java/org/sonar/server/issue/index/IssueIndex.java                                                                                                                         178             83           1359
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Roots.java                                                                                                                                   96            273           1349
